scheduler_type, chunk_size, problem_size, time_1[s], time_2[s], time_3[s]
static, 1, 253200000, 2.055706, 2.053988, 2.054476
static, 1, 100000000, 0.811596, 0.811604, 0.812884
static, 1, 10000000, 0.081704, 0.082347, 0.082502
static, 1, 1000000, 0.009329, 0.009892, 0.009822
static, 1, 100000, 0.000986, 0.000984, 0.000987
static, 2, 253200000, 1.344406, 1.344236, 1.344199
static, 2, 100000000, 0.531521, 0.531111, 0.532011
static, 2, 10000000, 0.054478, 0.054390, 0.054418
static, 2, 1000000, 0.006551, 0.006151, 0.006138
static, 2, 100000, 0.000701, 0.000717, 0.000712
static, 4, 253200000, 0.988883, 0.989391, 0.988479
static, 4, 100000000, 0.391348, 0.391250, 0.391122
static, 4, 10000000, 0.040491, 0.040553, 0.040530
static, 4, 1000000, 0.005223, 0.004794, 0.004718
static, 4, 100000, 0.000573, 0.000564, 0.000575
static, 8, 253200000, 0.813209, 0.813750, 0.813428
static, 8, 100000000, 0.323572, 0.322053, 0.322652
static, 8, 10000000, 0.033628, 0.033649, 0.033589
static, 8, 1000000, 0.004409, 0.004992, 0.004034
static, 8, 100000, 0.000499, 0.000497, 0.000496
static, 16, 253200000, 0.710642, 0.712707, 0.711045
static, 16, 100000000, 0.282050, 0.282504, 0.281477
static, 16, 10000000, 0.029324, 0.029137, 0.029464
static, 16, 1000000, 0.004065, 0.003619, 0.003711
static, 16, 100000, 0.000484, 0.000457, 0.000476
static, 32, 253200000, 0.686621, 0.687589, 0.688754
static, 32, 100000000, 0.273239, 0.273192, 0.272349
static, 32, 10000000, 0.028517, 0.028241, 0.028607
static, 32, 1000000, 0.004063, 0.003609, 0.003612
static, 32, 100000, 0.000467, 0.000456, 0.000460
static, 64, 253200000, 0.654307, 0.655507, 0.655691
static, 64, 100000000, 0.259050, 0.258894, 0.260293
static, 64, 10000000, 0.027335, 0.027044, 0.027294
static, 64, 1000000, 0.003771, 0.003437, 0.003403
static, 64, 100000, 0.000434, 0.000434, 0.000444
static, 128, 253200000, 0.645798, 0.646437, 0.646831
static, 128, 100000000, 0.256863, 0.256337, 0.256046
static, 128, 10000000, 0.026980, 0.026852, 0.026722
static, 128, 1000000, 0.003638, 0.003372, 0.003425
static, 128, 100000, 0.000434, 0.000428, 0.000463
static, 256, 253200000, 0.630638, 0.630708, 0.630188
static, 256, 100000000, 0.249280, 0.250196, 0.250536
static, 256, 10000000, 0.026185, 0.026263, 0.026204
static, 256, 1000000, 0.003765, 0.003324, 0.003327
static, 256, 100000, 0.000424, 0.000427, 0.000435
static, 512, 253200000, 0.629280, 0.629755, 0.630267
static, 512, 100000000, 0.250377, 0.249770, 0.248683
static, 512, 10000000, 0.025802, 0.025411, 0.025827
static, 512, 1000000, 0.003334, 0.002888, 0.002850
static, 512, 100000, 0.000328, 0.000328, 0.000329
static, 1024, 253200000, 0.625905, 0.626627, 0.626127
static, 1024, 100000000, 0.247992, 0.247362, 0.247623
static, 1024, 10000000, 0.025309, 0.025327, 0.025459
static, 1024, 1000000, 0.003100, 0.002657, 0.002672
static, 1024, 100000, 0.000297, 0.000285, 0.000282
static, 2048, 253200000, 0.627460, 0.627875, 0.627437
static, 2048, 100000000, 0.248643, 0.248527, 0.247744
static, 2048, 10000000, 0.025457, 0.025535, 0.025392
static, 2048, 1000000, 0.003085, 0.002672, 0.002621
static, 2048, 100000, 0.000285, 0.000321, 0.000298
static, 4096, 253200000, 0.629088, 0.629205, 0.629197
static, 4096, 100000000, 0.248824, 0.248674, 0.248560
static, 4096, 10000000, 0.025652, 0.025477, 0.025352
static, 4096, 1000000, 0.002769, 0.002779, 0.003080
static, 4096, 100000, 0.000290, 0.000317, 0.000301
static, 8192, 253200000, 0.631024, 0.631734, 0.631053
static, 8192, 100000000, 0.249577, 0.249584, 0.249545
static, 8192, 10000000, 0.025587, 0.025669, 0.025470
static, 8192, 1000000, 0.002818, 0.003010, 0.002689
static, 8192, 100000, 0.000299, 0.000285, 0.000314
static, 16384, 253200000, 0.631780, 0.632066, 0.632926
static, 16384, 100000000, 0.250547, 0.250262, 0.250281
static, 16384, 10000000, 0.025735, 0.025767, 0.025671
static, 16384, 1000000, 0.003074, 0.002761, 0.002858
static, 16384, 100000, 0.000358, 0.000379, 0.000371
static, 32768, 253200000, 0.632663, 0.632332, 0.633087
static, 32768, 100000000, 0.250249, 0.250311, 0.250511
static, 32768, 10000000, 0.025885, 0.025703, 0.025181
static, 32768, 1000000, 0.003016, 0.002735, 0.002565
static, 32768, 100000, 0.000365, 0.000356, 0.000361
static, 65536, 253200000, 0.631826, 0.632625, 0.632817
static, 65536, 100000000, 0.250141, 0.250404, 0.250028
static, 65536, 10000000, 0.025636, 0.025315, 0.025245
static, 65536, 1000000, 0.003070, 0.002718, 0.002607
static, 65536, 100000, 0.000694, 0.000691, 0.000690
static, 131072, 253200000, 0.632774, 0.632641, 0.632547
static, 131072, 100000000, 0.249752, 0.252301, 0.250247
static, 131072, 10000000, 0.025986, 0.025642, 0.025344
static, 131072, 1000000, 0.003166, 0.002558, 0.002574
static, 131072, 100000, 0.001067, 0.001063, 0.001062
dynamic, 1, 253200000, 10.241300, 10.602345, 10.240936
dynamic, 1, 100000000, 4.564257, 4.209878, 3.971830
dynamic, 1, 10000000, 0.457950, 0.392845, 0.398492
dynamic, 1, 1000000, 0.042994, 0.041927, 0.039843
dynamic, 1, 100000, 0.004146, 0.004340, 0.004386
