scheduler_type, chunk_size, problem_size, time_1[s], time_2[s], time_3[s]
static, 1, 100000, 0.001089, 0.001132, 0.001083
static, 1, 10000, 0.000102, 0.000102, 0.000102
static, 1, 1000, 0.000012, 0.000012, 0.000011
static, 1, 100, 0.000004, 0.000003, 0.000004
static, 2, 100000, 0.001056, 0.001066, 0.001059
static, 2, 10000, 0.000102, 0.000101, 0.000102
static, 2, 1000, 0.000011, 0.000011, 0.000011
static, 2, 100, 0.000004, 0.000004, 0.000004
static, 4, 100000, 0.001072, 0.001061, 0.001058
static, 4, 10000, 0.000102, 0.000123, 0.000102
static, 4, 1000, 0.000011, 0.000012, 0.000011
static, 4, 100, 0.000003, 0.000003, 0.000003
static, 8, 100000, 0.001068, 0.001055, 0.001060
static, 8, 10000, 0.000101, 0.000102, 0.000102
static, 8, 1000, 0.000012, 0.000012, 0.000011
static, 8, 100, 0.000004, 0.000003, 0.000004
static, 16, 100000, 0.001068, 0.001057, 0.001061
static, 16, 10000, 0.000102, 0.000101, 0.000102
static, 16, 1000, 0.000012, 0.000012, 0.000034
static, 16, 100, 0.000004, 0.000004, 0.000004
static, 32, 100000, 0.001065, 0.001066, 0.001060
static, 32, 10000, 0.000102, 0.000102, 0.000102
static, 32, 1000, 0.000012, 0.000012, 0.000012
static, 32, 100, 0.000004, 0.000003, 0.000003
static, 64, 100000, 0.001065, 0.001075, 0.001066
static, 64, 10000, 0.000101, 0.000101, 0.000115
static, 64, 1000, 0.000011, 0.000012, 0.000012
static, 64, 100, 0.000004, 0.000018, 0.000003
static, 128, 100000, 0.001070, 0.001059, 0.001068
static, 128, 10000, 0.000100, 0.000102, 0.000102
static, 128, 1000, 0.000011, 0.000011, 0.000011
static, 128, 100, 0.000004, 0.000003, 0.000004
static, 256, 100000, 0.001063, 0.001060, 0.001065
static, 256, 10000, 0.000102, 0.000102, 0.000115
static, 256, 1000, 0.000011, 0.000012, 0.000011
static, 256, 100, 0.000004, 0.000003, 0.000004
static, 512, 100000, 0.001107, 0.001067, 0.001061
static, 512, 10000, 0.000102, 0.000103, 0.000102
static, 512, 1000, 0.000012, 0.000012, 0.000011
static, 512, 100, 0.000004, 0.000003, 0.000004
static, 1024, 100000, 0.001121, 0.001084, 0.001090
static, 1024, 10000, 0.000102, 0.000102, 0.000118
static, 1024, 1000, 0.000011, 0.000012, 0.000011
static, 1024, 100, 0.000004, 0.000003, 0.000003
static, 2048, 100000, 0.001066, 0.001077, 0.001066
static, 2048, 10000, 0.000102, 0.000101, 0.000116
static, 2048, 1000, 0.000012, 0.000012, 0.000012
static, 2048, 100, 0.000004, 0.000004, 0.000004
static, 4096, 100000, 0.001065, 0.001060, 0.001077
static, 4096, 10000, 0.000102, 0.000102, 0.000102
static, 4096, 1000, 0.000012, 0.000011, 0.000011
static, 4096, 100, 0.000004, 0.000003, 0.000003
dynamic, 1, 100000, 0.001071, 0.001065, 0.001063
dynamic, 1, 10000, 0.000101, 0.000102, 0.000102
dynamic, 1, 1000, 0.000011, 0.000012, 0.000012
dynamic, 1, 100, 0.000004, 0.000004, 0.000003
dynamic, 2, 100000, 0.001059, 0.001061, 0.001061
dynamic, 2, 10000, 0.000102, 0.000101, 0.000101
dynamic, 2, 1000, 0.000011, 0.000012, 0.000012
dynamic, 2, 100, 0.000004, 0.000003, 0.000003
dynamic, 4, 100000, 0.001078, 0.001062, 0.001066
dynamic, 4, 10000, 0.000101, 0.000101, 0.000115
dynamic, 4, 1000, 0.000011, 0.000011, 0.000011
dynamic, 4, 100, 0.000004, 0.000004, 0.000003
dynamic, 8, 100000, 0.001070, 0.001066, 0.001065
dynamic, 8, 10000, 0.000101, 0.000101, 0.000102
dynamic, 8, 1000, 0.000011, 0.000011, 0.000011
dynamic, 8, 100, 0.000003, 0.000004, 0.000003
dynamic, 16, 100000, 0.001068, 0.001058, 0.001062
dynamic, 16, 10000, 0.000105, 0.000102, 0.000110
dynamic, 16, 1000, 0.000012, 0.000012, 0.000011
dynamic, 16, 100, 0.000004, 0.000004, 0.000004
dynamic, 32, 100000, 0.001064, 0.001066, 0.001058
dynamic, 32, 10000, 0.000101, 0.000101, 0.000102
dynamic, 32, 1000, 0.000012, 0.000012, 0.000012
dynamic, 32, 100, 0.000003, 0.000003, 0.000003
dynamic, 64, 100000, 0.001065, 0.001064, 0.001061
dynamic, 64, 10000, 0.000101, 0.000102, 0.000102
dynamic, 64, 1000, 0.000011, 0.000012, 0.000012
dynamic, 64, 100, 0.000003, 0.000003, 0.000004
dynamic, 128, 100000, 0.001071, 0.001063, 0.001065
dynamic, 128, 10000, 0.000102, 0.000102, 0.000101
